nodename	idrac-ip	idrac-vlan	idrac-interface	idrac-mac	idrac-switch	idrac-switchport	management-ip	management-vlan	management-interface	management-mac	management-switch	management-switchport	storagetrunk-interface	storagetrunk-ip	storage-vlan	storagetrunk-switch	storagetrunk-switchport	clustertrunk-interface	clustertrunk-switch	clustertrunk-switchport
hb-ceph-osd01	172.23.11.121	1075	lom1	08:92:04:9C:1F:EC	hb-sw-mgmt01-h07	1/7	172.23.9.121	1074	lom1		hb-sw-mgmt01-h07	1/7	P1			hb-sw-leaf01-h07	ethernet 1/1/5:2	P2	hb-sw-leaf02-h07	ethernet 1/1/5:2
hb-ceph-osd02	172.23.11.122	1075	lom1	08:92:04:9C:ED:74	hb-sw-mgmt01-h07	1/6	172.23.9.122	1074	lom1		hb-sw-mgmt01-h07	1/6	P1			hb-sw-leaf01-h07	ethernet 1/1/5:3	P2	hb-sw-leaf02-h07	ethernet 1/1/5:3
hb-ceph-osd03	172.23.11.123	1075	lom1	08:92:04:9C:21:AC	hb-sw-mgmt01-h07	1/5	172.23.9.123	1074	lom1		hb-sw-mgmt01-h07	1/5	P1			hb-sw-leaf01-h07	ethernet 1/1/5:4	P2	hb-sw-leaf02-h07	ethernet 1/1/5:4
hb-hypervisor201	172.23.5.131	1070	lom1	08:92:04:9C:BF:E6	hb-sw-mgmt01-h08	1/18	172.23.1.131	1069	lom1		hb-sw-mgmt01-h08	1/18	P1			hb-sw-leaf01-h05	Ethernet 1/1/38	P2	hb-sw-leaf02-h05	Ethernet 1/1/38
hb-cephmon01	172.23.11.111	1075	lom1	08:92:04:9A:C6:FC	hb-sw-mgmt01-h07	1/10	172.23.9.111	1074	lom1		hb-sw-mgmt01-h07	1/10	P1			hb-sw-leaf01-h07	ethernet 1/1/6:3	P2	hb-sw-leaf02-h07	ethernet 1/1/6:3
hb-cephmon02	172.23.11.112	1075	lom1	08:92:04:9A:C9:CC	hb-sw-mgmt01-h07	1/9	172.23.9.112	1074	lom1		hb-sw-mgmt01-h07	1/9	P1			hb-sw-leaf01-h07	ethernet 1/1/6:4	P2	hb-sw-leaf02-h07	ethernet 1/1/6:4
hb-cephmon03	172.23.11.113	1075	lom1	08:92:04:9A:B9:1C	hb-sw-mgmt01-h07	1/8	172.23.9.113	1074	lom1		hb-sw-mgmt01-h07	1/8	P1			hb-sw-leaf01-h07	ethernet 1/1/5:1	P2	hb-sw-leaf02-h07	ethernet 1/1/5:1
hb-gpu001	172.23.5.1	1070	lom1	EC:2A:72:03:4B:24	hb-sw-mgmt01-h06	1/6	172.23.1.1	1069	lom1	B0:7B:25:E9:DF:22	hb-sw-mgmt01-h06	1/6	P1			hb-sw-leaf01-h05	Ethernet 1/1/32	P2	hb-sw-leaf02-h05	Ethernet 1/1/32
hb-gpu002	172.23.5.2	1070	lom1	EC:2A:72:03:4B:30	hb-sw-mgmt01-h06	1/5	172.23.1.2	1069	lom1	B0:7B:25:E9:E4:B4	hb-sw-mgmt01-h06	1/5	P1			hb-sw-leaf01-h05	Ethernet 1/1/31	P2	hb-sw-leaf02-h05	Ethernet 1/1/31
hb-gpu003	172.23.5.3	1070	lom1	EC:2A:72:03:49:1A	hb-sw-mgmt01-h07	1/4	172.23.1.3	1069	lom1	B0:7B:25:E9:DB:44	hb-sw-mgmt01-h07	1/4	P1			hb-sw-leaf01-h07	ethernet 1/1/4:1	P2	hb-sw-leaf02-h07	ethernet 1/1/4:1
